0,0
0,100
0,200
0,300
0,400
0,500
0,600
0,700
0,800
0,900
0,1000
0,1100
0,1200
0,1300
100,0
100,100
100,200
100,300
100,400
100,500
100,600
100,700
100,800
100,900
100,1000
100,1100
100,1200
100,1300
200,0
200,100
200,200
200,300
200,400
200,500
200,600
200,700
200,800
200,900
200,1000
200,1100
200,1200
200,1300
300,0
300,100
300,200
300,300
300,400
300,500
300,600
300,700
300,800
300,900
300,1000
300,1100
300,1200
300,1300
300,1400
400,0
400,100
400,200
400,300
400,400
400,500
400,600
400,700
400,800
400,900
400,1000
400,1100
400,1200
400,1300
400,1400
500,0
500,100
500,200
500,300
500,400
500,500
500,600
500,700
500,800
500,900
500,1000
500,1100
500,1200
500,1300
500,1400
600,0
600,100
600,200
600,300
600,400
600,500
600,600
600,700
600,800
600,900
600,1000
600,1100
600,1200
600,1300
600,1400
700,0
700,100
700,200
700,300
700,400
700,500
700,600
700,700
700,800
700,900
700,1000
700,1100
700,1200
700,1300
700,1400
800,0
800,100
800,200
800,300
800,400
800,500
800,600
800,700
800,800
800,900
800,1000
800,1100
800,1200
800,1300
800,1400
900,0
900,100
900,200
900,300
900,400
900,500
900,600
900,700
900,800
900,900
900,1000
900,1100
900,1200
900,1300
900,1400
1000,0
1000,100
1000,200
1000,300
1000,400
1000,500
1000,600
1000,700
1000,800
1000,900
1000,1000
1000,1100
1000,1200
1000,1300
1000,1400
1100,0
1100,100
1100,200
1100,300
1100,400
1100,500
1100,600
1100,700
1100,800
1100,900
1100,1000
1100,1100
1100,1200
1100,1300
1100,1400
1200,0
1200,100
1200,200
1200,300
1200,400
1200,500
1200,600
1200,700
1200,800
1200,900
1200,1000
1200,1100
1200,1200
1200,1300
1200,1400
1200,1500
1300,0
1300,100
1300,200
1300,300
1300,400
1300,500
1300,600
1300,700
1300,800
1300,900
1300,1000
1300,1100
1300,1200
1300,1300
1300,1400
1300,1500
1400,0
1400,100
1400,200
1400,300
1400,400
1400,500
1400,600
1400,700
1400,800
1400,900
1400,1000
1400,1100
1400,1200
1400,1300
1400,1400
1400,1500
1500,0
1500,100
1500,200
1500,300
1500,400
1500,500
1500,600
1500,700
1500,800
1500,900
1500,1000
1500,1100
1500,1200
1500,1300
1500,1400
1500,1500
1600,0
1600,100
1600,200
1600,300
1600,400
1600,500
1600,600
1600,700
1600,800
1600,900
1600,1000
1600,1100
1600,1200
1600,1300
1600,1400
1600,1500
1700,0
1700,100
1700,200
1700,300
1700,400
1700,500
1700,600
1700,700
1700,800
1700,900
1700,1000
1700,1100
1700,1200
1700,1300
1700,1400
1700,1500
1800,0
1800,100
1800,200
1800,300
1800,400
1800,500
1800,600
1800,700
1800,800
1800,900
1800,1000
1800,1100
1800,1200
1800,1300
1800,1400
1800,1500
1900,0
1900,100
1900,200
1900,300
1900,400
1900,500
1900,600
1900,700
1900,800
1900,900
1900,1000
1900,1100
1900,1200
1900,1300
1900,1400
1900,1500
2000,0
2000,100
2000,200
2000,300
2000,400
2000,500
2000,600
2000,700
2000,800
2000,900
2000,1000
2000,1100
2000,1200
2000,1300
2000,1400
2000,1500
2100,0
2100,100
2100,200
2100,300
2100,400
2100,500
2100,600
2100,700
2100,800
2100,900
2100,1000
2100,1100
2100,1200
2100,1300
2100,1400
2100,1500
2200,0
2200,100
2200,200
2200,300
2200,400
2200,500
2200,600
2200,700
2200,800
2200,900
2200,1000
2200,1100
2200,1200
2200,1300
2200,1400
2200,1500
2200,1600
2300,0
2300,100
2300,200
2300,300
2300,400
2300,500
2300,600
2300,700
2300,800
2300,900
2300,1000
2300,1100
2300,1200
2300,1300
2300,1400
2300,1500
2300,1600
2400,0
2400,100
2400,200
2400,300
2400,400
2400,500
2400,600
2400,700
2400,800
2400,900
2400,1000
2400,1100
2400,1200
2400,1300
2400,1400
2400,1500
2400,1600
2500,0
2500,100
2500,200
2500,300
2500,400
2500,500
2500,600
2500,700
2500,800
2500,900
2500,1000
2500,1100
2500,1200
2500,1300
2500,1400
2500,1500
2500,1600
